name,segment,public_url,contact_path,pain_signal,personalized_angle,first_message_draft,status,next_action
Clockwork,dijital ürün / deneyim ajansı,https://www.clockwork.com.tr/,website contact form / LinkedIn profile,"Dijital ürün, web ve deneyim projelerinde müşteri brief’ine göre kapsam, teslimat ve fiyat içeren teklif dokümanı gerekir.","TeklifJet, proje kapsamını hızlıca okunabilir PDF teklif ve takip mesajlarına dönüştürerek ajans satış sürecini hızlandırabilir.","Merhaba Clockwork ekibi, dijital ürün ve deneyim projelerinde müşteriye kapsam + teslimat + zaman planını net anlatan teklifler hazırladığınızı tahmin ediyorum. TeklifJet, bu tip işleri 5-10 dakikada markalı PDF teklif ve takip mesajlarına dönüştürüyor. ₺499’luk pilotta sizin için bir teklif akışını örnekleyebiliriz: https://goktugozdem2.github.io/teklifjet/generator/",not_sent,manual DM/contact form
Userspots,UX araştırma ve tasarım danışmanlığı,https://www.userspots.com/,website contact form / LinkedIn profile,"UX araştırma, test, workshop ve danışmanlık paketleri müşteriye özel tekliflendirme gerektirir.","Araştırma + tasarım çıktılarının tekliflerde netleştirilmesi için TeklifJet hazır PDF yapısı ve takip metinleri sağlayabilir.","Merhaba Userspots ekibi, araştırma ve UX danışmanlığı tekliflerinde kapsamı, metodolojiyi ve çıktıları net anlatmak teklifin kapanmasını ciddi etkiliyor. TeklifJet bu süreci hızlıca PDF teklif + müşteri takip mesajlarına çeviriyor. ₺499 pilotla bir örnek teklif akışı hazırlamak isterim: https://goktugozdem2.github.io/teklifjet/generator/",not_sent,manual DM/contact form
Atölye15,web/mobile software development studio,https://atolye15.com/,website contact form / LinkedIn profile,"Özel yazılım, web ve mobil uygulama projelerinde müşteri brief’ine göre detaylı teklif hazırlama ihtiyacı yüksektir.","Teknik kapsamı sade ve satışa uygun PDF teklif haline getirmek için TeklifJet kullanılabilir.","Merhaba Atölye15 ekibi, web/mobil yazılım projelerinde müşteri brief’inden sonra kapsam, fazlar ve fiyatlandırmayı net anlatan teklif dokümanları hazırladığınızı tahmin ediyorum. TeklifJet bu süreci hızlıca profesyonel PDF teklif ve follow-up mesajlarına dönüştürüyor. ₺499 pilotu denemek ister misiniz? https://goktugozdem2.github.io/teklifjet/generator/",not_sent,manual DM/contact form
Radity,yazılım geliştirme ve dijital ürün ajansı,https://www.radity.com/,website contact form / LinkedIn profile,"Custom software ve product development projelerinde farklı müşteri ihtiyaçlarına göre teklif/pitch dokümanı gerekir.","TeklifJet, discovery sonrası çıkan kapsamı hızlı teklif PDF’ine ve takip mesajlarına çevirebilir.","Merhaba Radity ekibi, custom software projelerinde müşteriye net kapsam, süre ve bütçe sunmak satış sürecinin kritik kısmı oluyor. TeklifJet, discovery notlarını hızlıca profesyonel PDF teklif + takip mesajlarına dönüştüren küçük bir araç. ₺499 pilot için örnek bir teklif hazırlayabiliriz: https://goktugozdem2.github.io/teklifjet/generator/",not_sent,manual DM/contact form
Mobilist,mobile app development agency,https://mobilist.com.tr/,website contact form / LinkedIn profile,"Mobil uygulama projeleri özellik seti, platform, entegrasyon ve bakım kapsamına göre tekliflendirilir.","Mobil uygulama tekliflerinde kapsam ve fazları müşteriye daha anlaşılır sunmak için TeklifJet uygun olabilir.","Merhaba Mobilist ekibi, mobil uygulama projelerinde özellik listesi, platformlar, entegrasyonlar ve bakım kapsamını teklifte net göstermek gerekiyor. TeklifJet, bu bilgileri hızlıca PDF teklif ve hazır takip mesajlarına çeviriyor. ₺499 pilotta bir mobil uygulama teklif şablonu deneyebiliriz: https://goktugozdem2.github.io/teklifjet/generator/",not_sent,manual DM/contact form
Brew Interactive,digital marketing / performance agency,https://www.brewinteractive.com/,website contact form / LinkedIn profile,"Performans pazarlama, SEO, içerik ve growth hizmetlerinde paket/kapsam bazlı müşteri teklifleri hazırlanır.","Aylık retainer veya kampanya tekliflerini daha hızlı ve takip mesajlarıyla birlikte sunmak için TeklifJet denenebilir.","Merhaba Brew Interactive ekibi, performans pazarlama ve growth projelerinde tekliflerin kapsam, hedef, kanal ve aylık bütçeyi net anlatması gerekiyor. TeklifJet, bu teklifleri hızlıca PDF’e ve müşteri takip mesajlarına dönüştürüyor. ₺499 pilotla ajans teklif akışınızı örnekleyebiliriz: https://goktugozdem2.github.io/teklifjet/generator/",not_sent,manual DM/contact form
Webtures,SEO ve dijital pazarlama ajansı,https://www.webtures.com/,website contact form / LinkedIn profile,"SEO, reklam ve dijital büyüme hizmetleri için müşteriye özel analiz ve paket teklifleri hazırlanır.","SEO/growth tekliflerinde kapsam, hedef ve aylık çalışma planını standartlaştırmak için TeklifJet faydalı olabilir.","Merhaba Webtures ekibi, SEO ve dijital pazarlama projelerinde müşteri özelinde analiz, kapsam ve aylık plan içeren teklifler hazırladığınızı tahmin ediyorum. TeklifJet bu süreci hızlıca markalı PDF teklif + follow-up mesajlarına çeviriyor. ₺499 pilotu denemek ister misiniz? https://goktugozdem2.github.io/teklifjet/generator/",not_sent,manual DM/contact form
Zeo,SEO ve performance marketing ajansı,https://zeo.org/,website contact form / LinkedIn profile,"SEO danışmanlığı ve performans pazarlama projeleri genellikle müşteri hedeflerine göre tekliflendirilir.","Teknik SEO ve growth tekliflerini daha okunabilir PDF formatına dönüştürmek için TeklifJet uygun olabilir.","Merhaba Zeo ekibi, SEO ve performance projelerinde teknik kapsamı müşteriye sade ve ikna edici şekilde anlatmak teklif sürecinde çok değerli. TeklifJet, bunu hızlıca PDF teklif ve takip mesajlarına dönüştüren bir araç. ₺499 pilotta örnek bir SEO teklif akışı hazırlayabiliriz: https://goktugozdem2.github.io/teklifjet/generator/",not_sent,manual DM/contact form
Dopinger,SEO ve dijital pazarlama ajansı,https://www.dopinger.com/tr/,website contact form / LinkedIn profile,"SEO, reklam ve web hizmetleri için potansiyel müşterilere kapsam/fiyat teklifleri gönderme ihtimali yüksektir.","TeklifJet, SEO paketlerini ve müşteri takip mesajlarını hızlı üretmek için düşük maliyetli pilot olarak sunulabilir.","Merhaba Dopinger ekibi, SEO ve dijital pazarlama hizmetlerinde müşteriye özel kapsam ve fiyat teklifi hazırlama süreci zaman alabiliyor. TeklifJet, kısa brief’ten profesyonel PDF teklif ve hazır takip mesajları çıkarıyor. ₺499 pilotla bir teklif örneği hazırlamak isterim: https://goktugozdem2.github.io/teklifjet/generator/",not_sent,manual DM/contact form
Clicksus,performans pazarlama ve dijital reklam ajansı,https://www.clicksus.com/,website contact form / LinkedIn profile,"Google Ads, sosyal medya reklamları ve performans kampanyaları için bütçe, hedef ve hizmet kapsamı içeren teklifler gerekir.","Reklam yönetimi tekliflerini daha hızlı PDF’e dökmek ve karar bekleyen müşterilere takip mesajı atmak için TeklifJet kullanılabilir.","Merhaba Clicksus ekibi, reklam yönetimi ve performans kampanyalarında müşteriye bütçe, hedef, kanal ve hizmet kapsamını net anlatan teklifler sunmak gerekiyor. TeklifJet bu süreci 5-10 dakikada PDF teklif + takip mesajlarına dönüştürüyor. ₺499 pilotu birlikte deneyebiliriz: https://goktugozdem2.github.io/teklifjet/generator/",not_sent,manual DM/contact form
